frame_index,icon_c0_r0,icon_c0_r1,icon_c0_r2,icon_c1_r0,icon_c1_r1,icon_c1_r2,icon_c2_r0,icon_c2_r1,icon_c2_r2,icon_c3_r0,icon_c3_r1,icon_c3_r2,icon_c4_r0,icon_c4_r1,icon_c4_r2
197,6,6,4,3,6,6,5,5,5,6,1,1,0,1,1
198,0,0,5,1,1,5,1,1,1,6,6,0,3,3,3
199,0,0,0,3,3,3,5,5,5,5,7,7,1,2,2
200,2,2,2,0,0,2,3,7,7,0,0,0,7,7,7
201,2,7,7,5,5,5,7,7,7,6,1,1,5,6,6
202,6,6,6,2,2,2,5,5,5,3,3,3,6,2,2
203,2,2,2,1,1,7,4,4,5,2,2,2,7,3,3
204,2,2,2,1,7,7,6,5,5,1,1,2,1,1,1
205,5,6,6,2,2,2,5,5,0,0,2,2,6,6,6
206,2,2,2,1,1,7,6,6,6,2,2,5,3,0,0
207,7,7,0,3,3,6,2,2,4,4,4,4,5,5,6
208,0,3,3,0,0,3,2,2,2,1,1,2,1,1,2
209,2,2,7,6,6,6,0,3,3,5,5,5,4,4,6
210,7,7,0,7,7,0,7,7,7,0,2,2,5,6,6
211,3,4,4,3,3,6,5,0,0,4,4,4,3,3,4
212,6,6,4,6,1,1,4,4,5,3,3,3,6,6,6
213,3,0,0,6,4,4,3,3,3,6,6,6,2,0,0
214,5,5,6,6,6,6,0,0,0,4,6,6,2,2,4
215,4,2,2,4,4,4,0,0,3,4,4,6,6,6,1
216,4,4,2,3,3,6,7,7,0,7,3,3,0,1,1
217,6,6,6,5,5,0,3,3,3,6,0,0,0,0,5
218,3,4,4,6,6,6,3,3,3,0,0,0,0,0,5
219,6,4,4,7,7,0,6,6,6,2,5,5,3,3,3
220,5,5,5,5,5,6,4,6,6,1,1,3,3,3,0
221,7,0,0,1,1,1,4,4,5,3,0,0,1,1,1
222,6,4,4,2,5,5,5,5,0,4,4,6,7,7,3
223,7,0,0,1,1,7,6,6,6,4,4,4,7,7,7
224,1,1,3,1,7,7,4,4,6,7,3,3,1,1,2
