frame_index,icon_c0_r0,icon_c0_r1,icon_c0_r2,icon_c1_r0,icon_c1_r1,icon_c1_r2,icon_c2_r0,icon_c2_r1,icon_c2_r2,icon_c3_r0,icon_c3_r1,icon_c3_r2,icon_c4_r0,icon_c4_r1,icon_c4_r2
216,0,0,2,4,1,1,4,1,1,5,3,3,2,2,4
217,1,1,1,0,0,4,3,3,3,2,2,2,6,6,1
218,2,2,0,3,3,0,2,2,1,4,4,1,7,7,7
219,5,5,5,3,3,6,0,0,4,0,0,0,1,5,5
220,4,4,5,4,1,1,3,3,3,1,1,3,6,6,1
221,1,7,7,5,1,1,3,3,3,5,5,5,3,3,3
222,1,5,5,3,3,6,4,4,4,0,5,5,2,4,4
223,4,4,4,3,3,3,3,5,5,0,0,0,4,1,1
224,2,2,2,3,3,0,0,2,2,4,4,4,2,2,0
225,1,0,0,4,4,1,2,2,2,1,3,3,3,2,2
226,3,3,6,4,4,4,6,4,4,6,6,4,5,5,5
227,1,1,1,3,3,3,0,1,1,5,3,3,0,0,2
228,3,3,2,0,0,5,3,2,2,4,1,1,0,0,3
229,3,3,1,2,2,2,0,1,1,1,2,2,3,3,2
230,0,0,2,5,5,1,3,3,7,1,1,1,1,1,1
231,6,1,1,3,3,3,2,2,2,1,1,1,2,4,4
232,5,5,0,3,3,3,1,1,1,2,2,0,6,6,1
233,0,1,1,5,5,5,2,2,2,1,1,2,2,2,4
234,0,1,1,1,1,1,4,1,1,3,3,0,1,3,3
235,1,5,5,3,0,0,3,3,2,8,1,1,1,1,7
236,4,4,4,7,4,4,2,2,2,0,0,4,3,3,6
237,7,7,7,2,2,3,5,0,0,0,0,4,3,3,6
238,7,7,3,4,4,4,6,6,6,3,0,0,0,0,4
239,7,7,7,3,0,0,2,2,1,3,3,6,1,1,1
240,3,3,1,0,0,0,3,3,5,0,4,4,7,7,7
241,3,3,2,1,1,2,1,1,4,3,3,3,0,0,0
242,5,0,0,0,0,0,3,3,5,0,0,0,1,0,0
243,1,1,7,3,3,0,1,0,0,5,5,5,7,7,7
244,4,1,1,1,1,0,1,3,3,1,1,1,1,5,5
245,5,0,0,6,6,6,1,1,8,0,5,5,3,3,2
246,4,0,0,5,5,3,3,3,3,3,0,0,3,3,6
247,1,7,7,1,1,2,0,0,0,2,2,2,0,0,4
248,3,1,1,5,5,3,6,4,4,2,3,3,5,4,4
249,3,3,1,5,1,1,2,0,0,1,1,1,1,7,7
250,0,2,2,1,1,2,5,5,0,4,4,4,4,4,4
251,0,0,3,1,2,2,0,0,0,5,5,1,0,3,3
252,2,4,4,2,2,2,7,7,2,1,1,1,1,1,7
253,0,0,1,2,0,0,7,2,2,1,1,0,0,4,4
254,0,0,1,1,1,1,3,3,5,6,6,4,7,3,3
255,0,3,3,0,4,4,6,6,4,0,0,0,4,5,5
256,3,1,1,0,5,5,1,1,3,2,2,2,0,0,0
257,1,5,5,4,4,4,1,3,3,0,0,0,0,0,2
258,4,1,1,1,0,0,4,1,1,2,2,2,0,0,4
259,4,4,4,0,0,0,5,0,0,4,8,1,4,1,1
260,7,7,3,2,2,2,1,1,8,3,3,3,4,4,4
261,4,4,5,1,1,1,4,4,1,2,3,3,1,1,1
262,1,1,1,4,4,4,3,3,3,4,1,1,3,3,3
263,2,2,0,1,2,2,6,6,6,4,1,1,4,4,4
